;Judul;album;Lirik
10;And All Things Will End;Waking The Fallen;"[M. Shadows:]
Our truth is painted across the sky
In our reflection, we learn to fly
No hand to hold us
No one to save us from tomorrow

Sailing away, beyond the reach of anyone
Far beyond the dreams of everyone
No light to follow
A shot in the dark
Does anybody know?
Sailing away, beyond the reach of anyone
Far beyond the dreams of everyone
High from the heavens
I can't see the pain
Does anybody care?

Think for a moment of all the lives
Stripped of their essence before their time
We stand to conquer
But is there nothing left tomorrow?

I'm sailing away, beyond the reach of anyone
Far beyond the dreams of everyone
There's no light to follow
A shot in the dark
Does anybody know?
Sailing away, beyond the reach of anyone
Far beyond the dreams of everyone
High from the heavens
I can't see the pain
Does anybody care?

[Neil deGrasse Tyson:]
We have one collective hope: The Earth
And yet uncounted people remain hopeless
Famine and calamity abound
Sufferers hurl themselves into the arms of war
People kill and get killed in the name of someone else's concept of God
Dare we admit that our thoughts and behaviors spring from a belief that the world revolves around us?
Each fabricated conflict, self-murdering bomb, vanished airplane
Every fictionalized dictator, biased partisan and wayward son
Are part of the curtains of society's racial, ethnic, religious, national and cultural conflicts
And you find the human ego turning the knobs and pulling the levers
When I track the orbits of asteroids, comets, and planets
Each one a pirouetting dancer in a cosmic ballet, choreographed by the forces of gravity
I see beyond the plight of humans. I see a universe ever-expanding
With its galaxies embedded within the ever-stretching, four-dimensional fabric of space and time
However big our world is — in our hearts, our minds, in our out-sized atlases?
The universe is even bigger
There are more stars in the universe than grains of sand on the world's beaches
More stars in the universe than seconds of time that have passed since Earth formed
More stars than words and sounds ever uttered by all humans who have ever lived
The day we cease the exploration of the cosmos is the day we threaten the continuance of our species
In that bleak world, arms-bearing, resource-hungry people and nations
Would be prone to act on their low contracted prejudices
And would have seen the last gasp of human enlightenment —
Until the rise of a visionary new culture that once again embraces the cosmic perspective
A perspective in which we are one, fitting neither above, nor below, but within"
11;Angels;The Stage;"Before you advertise
All the fame is implied
With no fortune unseen
Sell the rights
To your blight
Time-machine

While I'm dulled by excess (Dulled by excess)
And a cynic at best (Cynic at the best)
My art imitates crime
Paid for by
The allies
So invest

Now I'm finding truth is a ruin
Nauseous end that nobody is pursuing
Staring into glassy eyes
Mesmerized
There's a vintage thirst returning
But I'm sheltered by my channel-surfing
Every famine virtual
Retrovertigo

A tribute to false memories
With conviction
Cheap imitation
Is it fashion or disease?
Post-ironic
Remains a mouth to feed

Sell the rights
To your plight
And you'll eat

Now I'm finding truth is a ruin
Nauseous end that nobody is pursuing
Staring into glassy eyes
Mesmerized

See the vintage robot wearied
Then awakened by revision theories
Every famine virtual
Retrovertigo"
12;As Tears Go By;The Stage;"My vinyl skin provides protection
It holds in place my plastic bones
Cast button eyes reflect an image
And all seems as it should
But there's nobody home

Cue the breeze
That sway the painted trees
Toy yellow birds upon the rooftops sing
In chorus with the buzzing bees
Melt in Sun L.E.D. beams
From the sky being held on a string
While boredom tears me apart at the seams

Now I know this might sound crazy
But I've smelled the plastic daisies
And it seems we've found ourselves
In
Hell

Round head consumed with major nothings
Ears made of wax unfit to hear
Day after day, it all plays over
Dedicated loop
Same year after year

Please attend
All model citizens
R.S.V.P. if we can count you in
Empty as we play pretend
Send our thoughts with you and to your kin
And in case I don't see you again
Good afternoon, good evening, and good night

Now I know this might sound crazy
But I've smelled the plastic daisies
And it seems we've found ourselves
In
Hell

Living feign in porcelain
And just smart enough to know nothing at all
Pull my string and make me cry
Advertisement, moral scrawl
A semblance of choice when there's no choice at all
Out of stock, 'the end is nigh'

Burn
Body burn
Burn

Now I know this might sound crazy
But I've smelled the plastic daisies
And it seems we've found ourselves
In hell"
13;Bat Country;City Of Evil;"Hey! Can't you see we're tripping on the wire
Walking through the candy land of our desires
Press the magic button and behold the world you crave
Where's the fun in freedom when it renders you a slave?

Pledge allegiance, no flag
God nation, god damn
The devil dances with the scorned
And how the fire keeps us warm

Hey! It goes beyond big brother in the sky
Beyond the threat of martial law no Horus eye
No one came to cuff you they just handed you the chains
Blind follows the blind and now the one-eyed man is king

Pledge allegiance, no flag
God nation, god damn
The devil dances with the scorned
And how the fire keeps us warm
Tunnel vision, no man
Damnation, god damn
Can't see the forest for the trees
Can't heal the wound before we bleed

No form of payment, no pot of gold will satisfy the debt of what he's owed
Spilling from the houses in a trance the children lined up on the road
Cursing at the piper as he lured your kids away
And led them to the river for what was their final day
No need for convincing on his pipe he played a song to fool them all
Fooled them all

Pledge allegiance, no flag
God nation, goddamned
The devil dances with the scorn
And now the fire keeps us (keeps us)
Tunnel vision, no man
Damnation, god damn
Can't see the forest for the trees
Can't heal the wound before we bleed"
14;Beast And The Harlot;City Of Evil;"My sixteen locked and loaded
All fear has been avoided
You say the words and my weapon is drawn
This one could be my last time
Some people call it ""war crime""
I may be staring down a lethal sight
(To die)

Nothing shocks you like a bullet hole
Leaving my fear on the danger line
Suffering no man should ever know
Leaving my faith on the danger line

I do this for my family
My daughter loves her daddy
Too many talk down on things they don't know
With colors never faded
Reckless and unabated
They may take me but never take us all
(I'll crawl)

Nothing shocks you like a bullet hole
Leaving my fear on the danger line
Suffering no man should ever know
Leaving my faith on the danger line
I know what you're thinking
I've been there before

So think of the times
The time we spent laughing away
So think of the times
At home
(Life without a care)

Now I find myself in my own blood
(Never thought I'd lie in my own blood)
The damage done is far beyond repair
I never put my faith in up above
(Never had much faith in up above)
But now, I'm hoping someone's there

I never meant to leave this world alone
I never meant to hurt the ones who care
And all this time I thought we'd just grow old
You know, no one said it's fair

Tell my baby girl that it's alright
I've sung my last song today
Remind the Lord to leave His light on
For me
I'm free"
15;Beautiful Morning;Life Is But A Dream…;"Let me tell ya 'bout a girl I know
That comes alive when you take off her clothes
There's no tellin' just where she's been
Ask around but no one seems to know, yeah

Late at night when you're looking for sin
Call her up and she'll lay down the law
You can't trust her 'cause she'll lie to your face
But that's not why you gave her a call

You're waste deep inside
The lust and burning desire

We've all been more than eager to sin
And it feels alright, 'til we pay the price
Now you choose either naughty or nice
'Cause she's here for you
It's all yours tonight
You won't believe the stories I've been told
About a girl I know

Another thing about this girl I know
She's more comfortable down on her knees
Went to school, got a job, and then she shot into hell
All 'cause she's born to please, yeah

Don't get her mixed up 'cause she knows what she likes
Can tell the difference between right and wrong
She knows you're watching every one of her moves
Just more reason to string you along, yeah

You're waste deep inside
The lust and burning desire

We've all been more than eager to sin
And it feels alright, 'til we pay the price
Now you choose either naughty or nice
'Cause she's here for you
It's all yours tonight
You won't believe the stories I've been told
About a girl I know

The first times hard enough
But you made it through
The second time I see the changes in you
She's got you somehow
You're needing her now, yeah

We've all been more than eager to sin
And it feels alright, 'til we pay the price
Now you choose either naughty or nice
'Cause she's here for you
It's all yours tonight
You won't believe the stories I've been told
About a girl I know"
16;Betrayed;City Of Evil;"I feel insane every single time
I'm asked to compromise
'Cause I'm afraid and stuck in my ways
And that's the way it stays
So how long did I expect love to outweigh ignorance?
By that look on your face I may have forced the scale to tip

I'm not insane, I'm not insane
I'm not insane, I'm not - not insane

(Mother)
Come back to me, it's almost easy
(Said it all)
Come back again, it's almost easy

Shame pulses through my heart
From the things I've done to you
It's hard to face, but the fact remains
That this is nothing new

I left you bound and tied with suicidal memories
Selfish beneath the skin
But deep inside I'm not insane.

I'm not insane, I'm not insane.
I'm not insane, I'm not - not insane.

(Mother)
Come back to me, it's almost easy
(Said it all)
Come back again, it's almost easy
(You'll learn your lesson)
Come back to me, it's almost easy
(But first you'll fall)
Come back again, it's almost easy

Now that I've lost you it kills me to say
(Hurts to say)
I've tried to hold on as you've slowly slipped away.
I'm losing the fight.
I've treated you so wrong, now let me make it right.
(Make it all right)

I'm not insane, I'm not insane. Ha ha ha ha ha
I'm not insane, I'm not - not insane.

(Mother)
Come back to me, it's almost easy
(Said it all)
Come back again, it's almost easy
(You'll learn your lesson)
Come back to me, it's almost easy
(But still you'll fall)
Come back again, it's almost easy"
17;Blinded In Chains;City Of Evil;"This is the story of a man
Who conquered life drink in hand
Ship unmanned
Marked by genius, channelled good
By some a bit misunderstood
They'd been wrong many times before

Some times our saints are sinners
They blur the lines and lead the way
Their way
Raise hell and a glass in reverence
The fearless lives of our great saints – our saints

Never a stranger to late night snake
Bite fist fights and empty pints
Unrivaled heights
He led with songs, they sang along
Created bonds that held so strong
Some were right and some were wrong

Some times our saints are sinners
They blur the lines and lead the way
Their way
Raise hell and a glass in reverence
The fearless lives of our great saints – our saints

It's by the sea and at night's end that's when the sin and swill begin
That's when he had that certain light inside his head
For every whisper he would scream for every draught he shared a drink
For every sorrow there is a light from our St. James

On the sea by the cliffs he watches, he waits the night to see
The day – his way
Last call will find us all
But there's a light that leads the way, our way

Some times our saints are sinners
They blur the lines and lead the way
Their way
Raise hell and a glass in reverence
The fearless lives of our great saints – our saints"
18;Breaking Their Hold;Sounding The Seventh Trumpet;"And we're at it again
I turn around, another fucking war, man
I don't know where to begin
But I'll start with the radical leaders
Their steps we're following

Running, don't go back and fight, too many you'll lose
(And as clowns you follow suit behind the blood between the red and white and blue but it's too deep for you to see and everyone eventually will take the step 'cause it's in sight you take the left I will take the right I feel the hate you've built for me and I say pay attention baby)

As they thank the Lord the blind can't see
Like a plague fed to the brain, deadly disease

But it wasn't a sin, a sorry life judging every action
And as they're feeding your mind with this shit you forget
How to speak how to ask all the questions

The business at hand tonight, make the people choose
(I see another side in you but there's not much more I can do from on the outside looking in your government is listening to push you on the story of immortal father mortal son give them your mind and all your wealth the cycle will rebirth itself)

If they had it their way I'd burn in Hell
And your future's a fucking disaster, can't you see?
Don't give them all the power
When your future's in desperate trouble baby

As they thank the Lord the blind can't see
Like a plague fed to the brain, deadly disease

I'd run away tonight with my mind still intact
You gotta make it alright
Easier said than done with no place to hide
And having no place to

Running away from condition
I see you but you're running away from
Your scared seductive system

Most would claim I live a lie (I live a lie)
When pointing out it's easy to predict these things (Predict these things)
Every color has its side (I have a side)
They live together vote and most embrace these same dark times

Please help us, please save us
Of course they have control, we're all the same
Up on the cross
Crucified their problem, drove the nail and let him rot
Family and friends, it won't matter in the end
I'm sure they'll understand

Now look at the world and see how the humans bleed
As I sit up here and wonder about
How you sold your mind, body and soul
Looking at the fields so green
I know this sounds obscene
I see you're living for tomorrow but decisions you have made
Will leave you empty

As they thank the Lord the blind can't see
Like a plague fed to the brain, deadly disease

I'd run away tonight with my mind still intact
You gotta make it alright
Easier said than done with no place to hide
And having no place to

You have fallen asleep in denial
Look at the way we're dying one by one
How it ends I'll never know
Just live your life blind like me"
19;Brompton Cocktail;Avenged Sevenfold;"[Latin:]
Prodigia comploratus
Silens, oro
Regnet exitium.
[English translation:
""Prodigies mourning.
Silently I pray,
'Let destruction reign.'""]

Days of warning
Night brings mourning
My prayers wordless
Heaven is burning down

I walk stricken
Pitch-black vision
Oh, one, save me
Caress my weary eyes

Darkest Lord
Your mercy shall I gain
Strike the match
Engulf the earth in flames, in flames, in flames, in flames

Nature quaking
Prophets aching
I kneel faithful
Damnation cracks the sky

My heart fiction
Superstition
Your grace deathless
Give life to my last breath

Darkest Lord
Your mercy shall I gain
Strike the match
Engulf the earth in flames, in flames, in flames, in flames

Grant them eternal rest, oh Lord
Embrace them into your army of undead
Strike with vengeance those who oppose your will
And lay waste to all those who shall be sent before you
Walk with them and shield them from the blinding light of servitude
And devastate your enemies as they die by your hand.
Amen

[Latin:]
Prodigia comploratus
Silens, oro
Regnet exitium.

Rise from ashes
Violent clashes
My soul, vacant
Cleanse me of all this sin

I stand guilty
I bleed filthy
Born of fire
Savor this final hour

Darkest Lord
Your mercy shall I gain
Strike the match
Engulf the earth in flames, in flames, in flames, in flames"
20;Buried Alive;Nightmare;"It is the evening of the day
I sit and watch the children play
Smiling faces I can see
But not for me
I sit and watch
As tears go by

My riches can't buy everything
I want to hear the children sing
All I hear is the sound
Of rain falling on the ground
I sit and watch
As tears go by

It is the evening of the day
I sit and watch the children play
Doin' things I used to do
They think are new
I sit and watch
As tears go by"
21;Burn It Down;City Of Evil;"[M. Shadows:]
Before the story begins
Is it such a sin
For me to take what's mine
Until the end of time?
We were more than friends
Before the story ends
And I will take what's mine
Create what God would never design

[M. Shadows & The Rev:]
Our love had been so strong for far too long
I was weak with fear that something would go wrong
Before the possibilities came true
I took all possibility from you
Almost laughed myself to tears (Ahahaha)
Conjuring her deepest fears (Come here you fucking bitch)
Must have stabbed her fifty fucking times
I can't believe it
Ripped her heart out right before her eyes
Eyes over easy, eat it, eat it, eat it
She was never this good in bed even when she was sleeping
Now she's just so perfect, I've never been quite so fucking deep in her
It goes on and on, and on
I can keep you looking young and preserved forever
With a fountain to spray on your youth whenever

[M. Shadows:]
'Cause I really always knew that my little crime would be cold
That's why I got a heater for your thighs
And I know, I know it's not your time but bye, bye
And a word to the wise when the fire dies
You think it's over but it's just begun
Baby don't cry
You had my heart, at least for the most part
'Cause everybody's gotta die sometime
We fell apart, let's make a new start
'Cause everybody's gotta die sometime, yeah yeah
But baby don't cry

[M. Shadows & The Rev:]
Now possibilities I'd never considered
Are occurring the likes of which I'd never heard
Now an angry soul comes back from beyond the grave
To repossess a body with which I misbehave
Smiling right from ear to ear
Almost laughed herself to tears
Must have stabbed him fifty fucking times
I can't believe it
Ripped his heart out right before his eyes
Eyes over easy, eat it, eat it, eat it (Eat the shit out of it)
Now that it's done, I realize the error of my ways
I must venture back to apologize
From somewhere far beyond the grave
I gotta make up for what I've done
'Cause I was all up in a piece of heaven
While you burned in hell, no peace forever

[M. Shadows:]
'Cause I really always knew that my little crime would be cold
That's why I got a heater for your thighs
And I know, I know it's not your time but bye, bye
And a word to the wise when the fire dies
You think it's over but it's just begun
But baby don't cry
You had my heart, at least for the most part
'Cause everybody's gotta die sometime
We fell apart, let's make a new start
'Cause everybody's gotta die sometime, yeah yeah
But baby don't cry

[M. Shadows & Juliette Commagere:]
I will suffer for so long
(What will you do? Not long enough)
To make it up to you
(I pray to God that you do)
I'll do whatever you want me to do
(Well then I'll grant you one chance)
And if it's not enough
(If it's not enough, it's not enough)
If it's not enough
(Not enough)
Try again
(Try again)
And again
(And again)
Over and over again

[M. Shadows:]
We're coming back, coming back
We'll live forever, live forever
Let's have a wedding, have a wedding
Let's start the killing, start the killing

[Z. Vengeance:]
Do you take this man to death
For the rest of your unnatural life?
(Yes, I do)
Do you take this woman to death
For the rest of your unnatural life?
(I do)
I now pronounce you

[M. Shadows & The Rev:]
'Cause I really always knew that my little crime would be cold
That's why I got a heater for your thighs
And I know, I know it's not your time but bye, bye
And a word to the wise when the fire dies
You think it's over but it's just begun
But baby don't cry
You had my heart, at least for the most part
'Cause everybody's gotta die sometime
We fell apart, let's make a new start
'Cause everybody's gotta die sometime, yeah yeah
But baby don't cry"
22;Carry On;Black Reign;"Will you give me my own soul?
Will you let me take control?
I wanna see the things that you see
I wanna be the human you be
I wanna know the secrets inside
I wanna know the feelings you hide
Will you give me my own soul, control?

Tell me how to dream
And tell me what it means
Tell me how to feel
And tell me you believe
Tell me all the things you wanted me to be
Tell me when I'm really alive

Can you feel my love?
Can you feel my love?"
23;Chapter Four;Waking The Fallen;"Nightmare!
(Now your nightmare comes to life)

Dragged ya down below
Down to the devil's show
To be his guest forever
(Peace of mind is less than never)
Hate to twist your mind
But God ain't on your side
An old acquaintance severed
(Burn the world your last endeavor)

Flesh is burning
You can smell it in the air
'Cause men like you have
Such an easy soul to steal (steal)
So stand in line while
They ink numbers in your head
You're now a slave
Until the end of time here
Nothing stops the madness
Turning, haunting, yearning
Pull the trigger

You should have known
The price of evil
And it hurts to know
That you belong here, yeah
Ooh, it's your fuckin' nightmare

(While your nightmare comes to life)

Can't wake up in sweat
'Cause it ain't over yet
Still dancing with your demons
(Victim of your own creation)
Beyond the will to fight
Where all that's wrong is right
Where hate don't need a reason
(Loathing self-assassination)

You've been lied to
Just to rape you of your sight
And now they have the nerve
To tell you how to feel (feel)
So sedated as they
Medicate your brain
And while you slowly
Go insane they tell ya
""Given with the best intentions
Help you with your complications""

You should have known
The price of evil
And it hurts to know
That you belong here, yeah
No one to call
Everybody to fear
Your tragic fate is looking so clear, yeah
Ooh, it's your fuckin' nightmare

Fight (fight)
Not to fail (fail)
Not to fall (fall)
Or you'll end up like the others
Die (die)
Die again (die)
Drenched in sin (sin)
With no respect for another

Down (down)
Feel the fire (fire)
Feel the hate (hate)
Your pain is what we desire
Lost (lost)
Hit the wall (wall)
Watch you crawl (crawl)
Such a replaceable liar

And I know you hear their voices
Calling from above
And I know they may seem real
These signals of love
But our life's made up of choices
Some without appeal
They took for granted your soul
And it's ours now to steal

(As your nightmare comes to life)

You should have known
The price of evil
And it hurts to know
That you belong here, yeah
No one to call
Everybody to fear
Your tragic fate is looking so clear, yeah
Ooh, it's your fuckin' nightmare"
24;Clairvoyant Disease;Waking The Fallen;"Ride in the shadows wandering beyond the frame
Float like a feather through space and time outside a dream
Pirouette with divinity in a dance we've shared before
""Someone dissolution""
This is ""I am all"" as ""I am none""
Here we fly so high, no, I, no coming down

Shedding weight as I'm coming undone
All that's left converging as one
I am the sun
I am the sun

I'm a God, I'm awake, I'm the one in everything
I'm alive, I'm the dead, I'm a man without a head

(I'm a God, I'm awake, I'm the one in everything)
I walk with death in final exhalation
And come apart through violent separation
A thousand floors ascend into the ether
A lunatic enchanted by the reaper
(I'm alive, I'm the dead, I'm a man without a head)
And down below I leave a stranger laying lifeless as the light begins to shatter the skies
I ascend and leave behind the ""used to be""
And tear the fabric worn to cover my eyes and see
I see
I see

Nobody

Breathe in the silence, ebb and flow among the waves
Blur on the spectrum in light come dark in equal phase
All I ever was, has been and always will be

Here I end as I started again beyond death and borne on the wind
I am the sun
I am the sun

I'm a God, I'm awake, I'm the one in everything
I'm alive, I'm the dead, I'm a man without a head

A crack in the darkness
A tear in the sky
A narrow moment when we find ourselves
And all we occupy
Return to the boundless
Immerse in the free
Letting go as you lose your name
And all you've known to be

Nobody
Nobody
Nobody
Nobody"
25;Coming Home;Hail To The King;"There's a calmness to the air outside
Watch the sun color the sight of a morning sky
But all I see are clouds of darkest gray
A full eclipse to veil the start of another day

Hear the laughter as the children smile
Hold a newborn close and dream for a little while
But all I hear is death knock at my door
And think of painful journeys our young must endure

Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight

Touch the water with your own two hands
Let the freedom bell bring calm to a troubled land
But all I feel are my two feet in chains
I know the system, but I can't figure out the game

Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight

Take it all away from me
Take it all away...

Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight
Set me free tonight"
